list_no,date,region,kind,title,start,end,max_mw,min_mw,solar_mw,wind_mw,reason,url
72352,2024-04-27,제주,전망,제주 출력제한 전망안내 [ 2024년 04월 27일(토) ],,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72352&tag=&nPage=32
72356,2024-04-28,제주,전망,제주 출력제한 전망안내 [ 2024년 04월 28일(일) ],,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72356&tag=&nPage=32
72357,2024-04-27,제주,실적,제주 출력제한 실적 공지 [ 2024년 04월 27일(토) ],10:27,14:49,739,515,77.7,157.7,"전력망 제약, 전력수급 제약",https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72357&tag=&nPage=32
72400,2024-05-02,제주,전망,제주 출력제한 전망안내 [ 2024년 05월 02일(목) ],,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72400&tag=&nPage=32
72408,2024-05-03,제주,전망,제주 출력제한 전망안내 [ 2024년 05월 03일(금) ],,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72408&tag=&nPage=32
72410,2024-05-02,제주,실적,제주 출력제한 실적 공지 [ 2024년 05월 02일(목) ],10:26,14:19,776,537,25.0,277.9,"전력망 제약, 전력수급 제약",https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72410&tag=&nPage=32
72417,2024-05-04,제주,전망,제주 출력제한 전망안내 [ 2024년 05월 04일(토) ],,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72417&tag=&nPage=32
72425,2024-05-03,제주,실적,제주 출력제한 실적 공지 [ 2024년 05월 03일(금) ],10:50,13:32,774,546,16.6,149.7,"전력망 제약, 전력수급 제약",https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72425&tag=&nPage=31
72443,2024-05-07,제주,실적,제주 출력제한 실적 공지 [ 2024년 05월 07일(화) ],09:00,15:24,746,543,21.3,304.5,"전력망 제약, 전력수급 제약",https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72443&tag=&nPage=31
72449,2024-05-09,제주,전망,제주 출력제한 전망안내 [ 2024년 05월 09일(목) ],,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72449&tag=&nPage=31
72464,2024-05-10,제주,전망,제주 출력제한 전망안내 [ 2024년 05월 10일(금) ],,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72464&tag=&nPage=31
72472,2024-05-09,제주,실적,제주 출력제한 실적 공지 [ 2024년 05월 09일(목) ],10:44,14:38,762,538,29.6,76.3,"전력망 제약, 전력수급 제약",https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72472&tag=&nPage=31
72489,2024-05-10,제주,실적,제주 출력제한 실적 공지 [ 2024년 05월 10일(금) ],10:35,15:09,736,534,35.0,255.5,"전력망 제약, 전력수급 제약",https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72489&tag=&nPage=31
72490,2024-05-11,제주,실적,제주 출력제한 실적 공지 [ 2024년 05월 11일(토) ],10:38,12:52,724,549,,86,"전력망 제약, 전력수급 제약",https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72490&tag=&nPage=31
72491,2024-05-13,제주,전망,제주 출력제한 전망안내 [ 2024년 05월 13일(월) ],,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72491&tag=&nPage=31
72500,2024-05-14,제주,전망,제주 출력제한 전망안내 [ 2024년 05월 14일(화) ],,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72500&tag=&nPage=31
